1st Ban,enemy's 1st Ban,2nd Ban,enemy's 2nd Ban,1st Pick,enemy's 1st Pick,2ndPick,enemy's 2nd Pick,3rd Ban,enemy's 3rd Ban,4th Ban,enemy's 4th Ban,5th Ban,enemy's 5th Ban,3rd Pick,enemy's 3rd Pick,4th Pick,enemy's 4th Pick,6th Ban,enemy's 6th Ban,7th Ban,enemy's 7th Ban,5th Pick,enemy's 5th Pick,Result
Ember Spirit,Void Spirit,Phoenix,Weaver,Earthshaker,Keeper of the Light,Pangolier,Clockwerk,Vengeful Spirit,Batrider,Oracle,Puck,Bloodseeker,Ursa,Chen,Queen of Pain,Morphling,Bristleback,Lycan,Kunkka,,,Nature's Prophet,Timbersaw,Won
Phoenix,Nature's Prophet,Queen of Pain,Lycan,Earthshaker,Rubick,Lone Druid,Ember Spirit,Batrider,Void Spirit,Pangolier,Visage,Beastmaster,Chen,Puck,Jakiro,Morphling,Lifestealer,Ancient Apparition,Abaddon,,,Legion Commander,Outworld Devourer,Won
Phoenix,Nature's Prophet,Queen of Pain,Lycan,Void Spirit,Shadow Demon,Weaver,Jakiro,Batrider,Lone Druid,Rubick,Ember Spirit,Pangolier,Beastmaster,Kunkka,Mars,Visage,Death Prophet,Phantom Lancer,Storm Spirit,,,Pugna,Terrorblade,Won
Lycan,Void Spirit,Beastmaster,Weaver,Batrider,Treant Protector,Earth Spirit,Queen of Pain,Vengeful Spirit,Earthshaker,Enchantress,Nature's Prophet,Oracle,Lone Druid,Puck,Grimstroke,Kunkka,Lifestealer,Pangolier,Morphling,,,Slark,Ember Spirit,Won
Lycan,Void Spirit,Beastmaster,Weaver,Nature's Prophet,Enchantress,Earthshaker,Clockwerk,Luna,Pangolier,Treant Protector,Batrider,Necrophos,Morphling,Lone Druid,Chen,Doom,Bloodmother,Bloodseeker,Kunkka,,,Tiny,Vengeful Spirit,Won
Phoenix,Enchantress,Ember Spirit,Void Spirit,Nature's Prophet,Vengeful Spirit,Earthshaker,Batrider,Lycan,Weaver,Oracle,Pangolier,Lone Druid,Abaddon,Puck,Sand King,Morphling,Bloodseeker,Visage,Storm Spirit,,,Kunkka,Ancient Apparition,Lost
Phoenix,Enchantress,Grimstroke,Void Spirit,Nature's Prophet,Oracle,Beastmaster,Death Prophet,Ember Spirit,Weaver,Shadow Demon,Necrophos,Kunkka,Morphling,Rubick,Treant Protector,Ursa,Pangolier,Bloodmother,Queen of Pain,,,Vengeful Spirit,Lycan,Lost
Queen of Pain,Lycan,Earthshaker,Lone Druid,Enigma,Shadow Demon,Earth Spirit,Centaur Warrunner,Dragon Knight,Enchantress,Ember Spirit,Mirana,Kunkka,Monkey King,Wraith King,Chen,Batrider,Death Prophet,Phantom Lancer,Bloodmother,,,Nature's Prophet,Juggernaut,Won
Phoenix,Lone Druid,Ember Spirit,Queen of Pain,Enchantress,Earthshaker,Clockwerk,Bane,Oracle,Beastmaster,Death Prophet,Dragon Knight,Kunkka,Lycan,Enigma,Nature's Prophet,Monkey King,Batrider,Phantom Lancer,Slark,,,Bristleback,Wraith King,Won
Phoenix,Lone Druid,Oracle,Queen of Pain,Enchantress,Dragon Knight,Beastmaster,Bane,Death Prophet,Earthshaker,Grimstroke,Ember Spirit,Kunkka,Lycan,Sniper,Rubick,Abaddon,Batrider,Phantom Lancer,Leshrac,,,Morphling,Troll Warlord,Won
Phoenix,Lycan,Beastmaster,Queen of Pain,Earthshaker,Tusk,Lone Druid,Weaver,Witch Doctor,Ember Spirit,Io,Enchantress,Necrophos,Enigma,Puck,Shadow Demon,Morphling,Viper,Troll Warlord,Mars,,,Nature's Prophet,Spectre,Won
Phoenix,Queen of Pain,Viper,Lycan,Earthshaker,Witch Doctor,Chen,Beastmaster,Mirana,Enchantress,Necrophos,Ember Spirit,Grimstroke,Kunkka,Winter Wyvern,Io,Leshrac,Slark,Invoker,Troll Warlord,,,Bloodseeker,Batrider,Lost
Phoenix,Lone Druid,Batrider,Lycan,Ember Spirit,Shadow Demon,Sniper,Death Prophet,Oracle,Rubick,Earthshaker,Queen of Pain,Morphling,Beastmaster,Chen,Clockwerk,Necrophos,Spectre,Razor,Weaver,,,Nature's Prophet,Puck,Won
Phoenix,Lone Druid,Queen of Pain,Bane,Enchantress,Rubick,Earthshaker,Batrider,Pangolier,Lycan,Oracle,Ember Spirit,Luna,Slark,Abaddon,Undying,Nature's Prophet,Morphling,Storm Spirit,Death Prophet,,,Outworld Devourer,Kunkka,Won
Phoenix,Lycan,Grimstroke,Lone Druid,Bane,Queen of Pain,Ember Spirit,Shadow Demon,Witch Doctor,Enchantress,Earthshaker,Dragon Knight,Bloodseeker,Weaver,Beastmaster,Chen,Enigma,Kunkka,Brewmaster,Monkey King,,,Phantom Assassin,Wraith King,Lost
Phoenix,Lycan,Bane,Lone Druid,Enchantress,Dragon Knight,Witch Doctor,Grimstroke,Mirana,Rubick,Earthshaker,Queen of Pain,Riki,Beastmaster,Mars,Nature's Prophet,Troll Warlord,Ember Spirit,Razor,Necrophos,,,Death Prophet,Morphling,Lost
Phoenix,Lycan,Bane,Timbersaw,Lone Druid,Dragon Knight,Enchantress,Jakiro,Queen of Pain,Witch Doctor,Mirana,Rubick,Winter Wyvern,Earthshaker,Lion,Tusk,Abaddon,Death Prophet,Luna,Leshrac,,,Morphling,Riki,Won
Phoenix,Queen of Pain,Bane,Lycan,Witch Doctor,Io,Lone Druid,Weaver,Chen,Enchantress,Beastmaster,Ember Spirit,Timbersaw,Enigma,Rubick,Sand King,Bloodseeker,Gyrocopter,Necrophos,Zeus,,,Mars,Dazzle,Won
Phoenix,Lycan,Enchantress,Lone Druid,Weaver,Io,Earthshaker,Treant Protector,Queen of Pain,Leshrac,Ember Spirit,Rubick,Templar Assassin,Timbersaw,Enigma,Silencer,Beastmaster,Tiny,Sand King,Monkey King,,,Spectre,Luna,Won
Phoenix,Dragon Knight,Bane,Queen of Pain,Enchantress,Rubick,Lone Druid,Chen,Treant Protector,Lycan,Necrophos,Ember Spirit,Luna,Bloodseeker,Earthshaker,Death Prophet,Mirana,Pangolier,Chaos Knight,Enigma,,,Beastmaster,Troll Warlord,Won
Phoenix,Necrophos,Bane,Queen of Pain,Witch Doctor,Dragon Knight,Lone Druid,Rubick,Ember Spirit,Monkey King,Enchantress,Chen,Death Prophet,Abaddon,Sniper,Treant Protector,Mars,Riki,Pugna,Huskar,,,Troll Warlord,Templar Assasin,Won
Phoenix,Necrophos,Bane,Weaver,Ember Spirit,Keeper of the Light,Witch Doctor,Legion Commander,Queen of Pain,Enchantress,Chen,Lycan,Rubick,Enigma,Dazzle,Earthshaker,Pangolier,Timbersaw,Bloodseeker,Bounty Hunter,,,Morphling,Anti-Mage,Won
Phoenix,Necrophos,Ember Spirit,Enchantress,Weaver,Chen,Dragon Knight,Death Prophet,Shadow Demon,Rubick,Timbersaw,Queen of Pain,Witch Doctor,Ancient Apparition,Earthshaker,Clockwerk,Enigma,Lycan,Bane,Bloodseeker,,,Bloodmother,Nature's Prophet,Won
Phoenix,Chen,Enchantress,Monkey King,Queen of Pain,Earthshaker,Tidehunter,Lycan,Witch Doctor,Dragon Knight,Grimstroke,Bristleback,Timbersaw,Sniper,Keeper of the Light,Disruptor,Troll Warlord,Necrophos,Razor,Rubick,,,Enigma,Templar Assasin,Won
Phoenix,Rubick,Beastmaster,Queen of Pain,Ember Spirit,Dragon Knight,Sniper,Lycan,Enchantress,Necrophos,Riki,Timbersaw,Grimstroke,Mars,Treant Protector,Vengeful Spirit,Tidehunter,Enigma,Earthshaker,Bloodmother,,,Bristleback,Witch Doctor,Won
Phoenix,Enchantress,Timbersaw,Chen,Dragon Knight,Queen of Pain,Rubick,Witch Doctor,Bane,Lone Druid,Treant Protector,Death Prophet,Monkey King,Templar Assasin,Vengeful Spirit,Earth Spirit,Pangolier,Bloodseeker,Abaddon,Morphling,,,Spectre,Bristleback,Lost
Phoenix,Chen,Death Prophet,Enchantress,Dragon Knight,Treant Protector,Grimstroke,Queen of Pain,Void Spirit,Lone Druid,Witch Doctor,Bristleback,Rubick,Batrider,Jakiro,Bane,Monkey King,Timbersaw,Troll Warlord,Templar Assasin,,,Invoker,Gyrocopter,Lost
Nature's Prophet,Enchantress,Earth Spirit,Keeper of the Light,Void Spirit,Beastmaster,Weaver,Enigma,Io,Kunkka,Grimstroke,Earthshaker,Bloodseeker,Necrophos,Pangolier,Shadow Shaman,Lycan,Tiny,Naga Siren,Storm Spirit,,,Batrider,Monkey King,Won
Monkey King,Nature's Prophet,Phoenix,Lycan,Mirana,Enchantress,Ogre Magi,Treant Protector,Oracle,Lone Druid,Beastmaster,Luna,Necrophos,Timbersaw,Ember Spirit,Vengeful Spirit,Batrider,Drow Ranger,Viper,Morphling,,,Bloodmother,Queen of Pain,Won
Phoenix,Beastmaster,Monkey King,Nature's Prophet,Enchantress,Luna,Pangolier,Witch Doctor,Oracle,Lone Druid,Bane,Lycan,Templar Assassin,Morphling,Clockwerk,Earthshaker,Visage,Batrider,Bristleback,Lifestealer,,,Abaddon,Storm Spirit,Won
Io,Lycan,Ember Spirit,Lone Druid,Enchantress,Beastmaster,Kunkka,Mirana,Meepo,Luna,Queen of Pain,Nature's Prophet,Viper,Rubick,Void Spirit,Batrider,Phantom Lancer,Warlock,Spectre,Batrider,,,Vengeful Spirit,Anti-Mage,Lost
Io,Luna,Witch Doctor,Lycan,Enchantress,Ember Spirit,Necrophos,Keeper of the Light,Beastmaster,Lone Druid,Kunkka,Nature's Prophet,Batrider,Monkey King,Clockwerk,Bane,Morphling,Queen of Pain,Templar Assassin,Legion Commander,,,Abaddon,Meepo,Lost
Enchantress,Luna,Nature's Prophet,Keeper of the Light,Weaver,Chen,Earthshaker,Beastmaster,Lycan,Batrider,Grimstroke,Kunkka,Razor,Morphling,Troll Warlord,Rubick,Timbersaw,Invoker,Ursa,Bloodmother,,,Storm Spirit,Bloodseeker,Won
Grimstroke,Nature's Prophet,Chen,Luna,Void Spirit,Lycan,Keeper of the Light,Bane,Treant Protector,Beastmaster,Vengeful Spirit,Enchantress,Abaddon,Bristleback,Tidehunter,Mirana,Lone Druid,Earthshaker,Ursa,Kunkka,,,Monkey King,Queen of Pain,Won
Beastmaster,Enigma,Earth Spirit,Rubick,Keeper of the Light,Treant Protector,Void Spirit,Bane,Lycan,Lone Druid,Enchantress,Nature's Prophet,Batrider,Ursa,Luna,Kunkka,Spirit Breaker,Lifestealer,Pangolier,Viper,,,Vengeful Spirit,Queen of Pain,Won
Bane,Rubick,Bristleback,Enchantress,Nature's Prophet,Vengeful Spirit,Void Spirit,Ember Spirit,Earth Spirit,Lycan,Witch Doctor,Beastmaster,Luna,Monkey King,Lone Druid,Kunkka,Morphling,Phoenix,Bloodseeker,Oracle,,,Pangolier,Storm Spirit,Won
Earth Spirit,Earthshaker,Io,Enchantress,Nature's Prophet,Luna,Clockwerk,Pangolier,Grimstroke,Lycan,Phoenix,Necrophos,Vengeful Spirit,Kunkka,Weaver,Batrider,Ursa,Rubick,Invoker,Beastmaster,,,Storm Spirit,Void Spirit,Won
Earth Spirit,Earthshaker,Io,Necrophos,Mirana,Enchantress,Ogre Magi,Beastmaster,Nature's Prophet,Enigma,Grimstroke,Batrider,Lycan,Queen of Pain,Luna,Pugna,Kunkka,Spectre,Pangolier,Viper,,,Visage,Monkey King,Won
