,1st Ban,2nd Ban,1st Pick,2nd Pick,3rd Ban,4th Ban,5th Ban,3rd Pick,4th Pick,6th Ban,7th Ban,5th Pick
49,Venomancer,Batrider,Rubick,Phoenix,Dark Seer,Kunkka,Nature's Prophet,Centaur Warrunner,Lone Druid,Necrophos,Death Prophet,Sven
50,Lone Druid,Lycan,Keeper of the Light,Ember Spirit,Kunkka,Morphling,Necrophos,Bane,Underlord,Queen of Pain,,Viper
51,Lone Druid,Lycan,Phoenix,Windranger,Luna,Kunkka,Morphling,Dragon Knight,Death Prophet,Legion Commander,,Ursa
52,Lone Druid,Void Spirit,Ember Spirit,Grimstroke,Lycan,Kunkka,Necrophos,Io,Bristleback,Meepo,,Gyrocopter
53,Weaver,Void Spirit,Treant Protector,Queen of Pain,Chen,Enchantress,Visage,Disruptor,Lone Druid,Troll Warlord,,Pangolier
54,Void Spirit,Weaver,Keeper of the Light,Clockwerk,Batrider,Puck,Ursa,Queen of Pain,Bristleback,Kunkka,,Timbersaw
55,Nature's Prophet,Lycan,Rubick,Ember Spirit,Void Spirit,Visage,Chen,Jakiro,Lifestealer,Abaddon,,Outworld Devourer
56,Nature's Prophet,Lycan,Shadow Demon,Jakiro,Lone Druid,Ember Spirit,Beastmaster,Mars,Death Prophet,Storm Spirit,,Terrorblade
57,Void Spirit,Weaver,Treant Protector,Queen of Pain,Earthshaker,Nature's Prophet,Lone Druid,Grimstroke,Lifestealer,Morphling,,Ember Spirit
58,Void Spirit,Weaver,Enchantress,Clockwerk,Pangolier,Batrider,Morphling,Chen,Bloodmother,Kunkka,,Vengeful Spirit
59,Enchantress,Void Spirit,Vengeful Spirit,Batrider,Weaver,Pangolier,Abaddon,Sand King,Bloodseeker,Storm Spirit,,Ancient Apparition
60,Enchantress,Void Spirit,Oracle,Death Prophet,Weaver,Necrophos,Morphling,Treant Protector,Pangolier,Queen of Pain,,Lycan
61,Lycan,Lone Druid,Shadow Demon,Centaur Warrunner,Enchantress,Mirana,Monkey King,Chen,Death Prophet,Bloodmother,,Juggernaut
62,Lone Druid,Queen of Pain,Earthshaker,Bane,Beastmaster,Dragon Knight,Lycan,Nature's Prophet,Batrider,Slark,,Wraith King
63,Lone Druid,Queen of Pain,Dragon Knight,Bane,Earthshaker,Ember Spirit,Lycan,Rubick,Batrider,Leshrac,,Troll Warlord
64,Lycan,Queen of Pain,Tusk,Weaver,Ember Spirit,Enchantress,Enigma,Shadow Demon,Viper,Mars,,Spectre
65,Queen of Pain,Lycan,Witch Doctor,Beastmaster,Enchantress,Ember Spirit,Kunkka,Io,Slark,Troll Warlord,,Batrider
66,Lone Druid,Lycan,Shadow Demon,Death Prophet,Rubick,Queen of Pain,Beastmaster,Clockwerk,Spectre,Weaver,,Puck
67,Lone Druid,Bane,Rubick,Batrider,Lycan,Ember Spirit,Slark,Undying,Morphling,Death Prophet,,Kunkka
68,Lycan,Lone Druid,Queen of Pain,Shadow Demon,Enchantress,Dragon Knight,Weaver,Chen,Kunkka,Monkey King,,Wraith King
69,Lycan,Lone Druid,Dragon Knight,Grimstroke,Rubick,Queen of Pain,Beastmaster,Nature's Prophet,Ember Spirit,Necrophos,,Morphling
70,Lycan,Timbersaw,Dragon Knight,Jakiro,Witch Doctor,Rubick,Earthshaker,Tusk,Death Prophet,Leshrac,,Riki
71,Queen of Pain,Lycan,Io,Weaver,Enchantress,Ember Spirit,Enigma,Sand King,Gyrocopter,Zeus,,Dazzle
72,Lycan,Lone Druid,Io,Treant Protector,Leshrac,Rubick,Timbersaw,Silencer,Tiny,Monkey King,,Luna
73,Dragon Knight,Queen of Pain,Rubick,Chen,Lycan,Ember Spirit,Bloodseeker,Death Prophet,Pangolier,Enigma,,Troll Warlord
74,Necrophos,Queen of Pain,Dragon Knight,Rubick,Monkey King,Chen,Abaddon,Treant Protector,Riki,Huskar,,Templar Assasin
75,Necrophos,Weaver,Keeper of the Light,Legion Commander,Enchantress,Lycan,Enigma,Earthshaker,Timbersaw,Bounty Hunter,,Anti-Mage
76,Necrophos,Enchantress,Chen,Death Prophet,Rubick,Queen of Pain,Ancient Apparition,Clockwerk,Lycan,Bloodseeker,,Nature's Prophet
77,Chen,Monkey King,Earthshaker,Lycan,Dragon Knight,Bristleback,Sniper,Disruptor,Necrophos,Rubick,,Templar Assasin
78,Rubick,Queen of Pain,Dragon Knight,Lycan,Necrophos,Timbersaw,Mars,Vengeful Spirit,Enigma,Bloodmother,,Witch Doctor
79,Enchantress,Chen,Queen of Pain,Witch Doctor,Lone Druid,Death Prophet,Templar Assasin,Earth Spirit,Bloodseeker,Morphling,,Bristleback
80,Chen,Enchantress,Treant Protector,Queen of Pain,Lone Druid,Bristleback,Batrider,Bane,Timbersaw,Templar Assasin,,Gyrocopter
81,Enchantress,Keeper of the Light,Beastmaster,Enigma,Kunkka,Earthshaker,Necrophos,Shadow Shaman,Tiny,Storm Spirit,,Monkey King
82,Nature's Prophet,Lycan,Enchantress,Treant Protector,Lone Druid,Luna,Timbersaw,Vengeful Spirit,Drow Ranger,Morphling,,Queen of Pain
83,Beastmaster,Nature's Prophet,Luna,Witch Doctor,Lone Druid,Lycan,Morphling,Earthshaker,Batrider,Lifestealer,,Storm Spirit
84,Lycan,Lone Druid,Beastmaster,Mirana,Luna,Nature's Prophet,Rubick,Batrider,Warlock,Batrider,,Anti-Mage
85,Luna,Lycan,Ember Spirit,Keeper of the Light,Lone Druid,Nature's Prophet,Monkey King,Bane,Queen of Pain,Legion Commander,,Meepo
86,Luna,Keeper of the Light,Chen,Beastmaster,Batrider,Kunkka,Morphling,Rubick,Invoker,Bloodmother,,Bloodseeker
87,Nature's Prophet,Luna,Lycan,Bane,Beastmaster,Enchantress,Bristleback,Mirana,Earthshaker,Kunkka,,Queen of Pain
88,Enigma,Rubick,Treant Protector,Bane,Lone Druid,Nature's Prophet,Ursa,Kunkka,Lifestealer,Viper,,Queen of Pain
89,Rubick,Enchantress,Vengeful Spirit,Ember Spirit,Lycan,Beastmaster,Monkey King,Kunkka,Phoenix,Oracle,,Storm Spirit
90,Earthshaker,Enchantress,Luna,Pangolier,Lycan,Necrophos,Kunkka,Batrider,Rubick,Beastmaster,,Void Spirit
91,Earthshaker,Necrophos,Enchantress,Beastmaster,Enigma,Batrider,Queen of Pain,Pugna,Spectre,Viper,,Monkey King
92,Rubick,Earthshaker,Troll Warlord,Vengeful Spirit,Enchantress,Beastmaster,Queen of Pain,Pangolier,Spirit Breaker,Meepo,,Oracle
93,Rubick,Lycan,Windranger,Ember Spirit,Earthshaker,Enchantress,Morphling,Keeper of the Light,Troll Warlord,Queen of Pain,,Tusk
94,Rubick,Enchantress,Nature's Prophet,Earth Spirit,Earthshaker,Lycan,Kunkka,Keeper of the Light,Troll Warlord,Enigma,,Sand King
95,Rubick,Earthshaker,Earth Spirit,Grimstroke,Enchantress,Lycan,Beastmaster,Shadow Demon,Underlord,Lone Druid,,Lifestealer
96,Lycan,Lone Druid,Witch Doctor,Dragon Knight,Queen of Pain,Ember Spirit,Meepo,Shadow Demon,Morphling,Bloodmother,,Visage
97,Queen of Pain,Lycan,Mirana,Sand King,Lone Druid,Ember Spirit,Pangolier,Vengeful Spirit,Luna,Batrider,,Viper
98,Lycan,Rubick,Nature's Prophet,Earth Spirit,Lone Druid,Enchantress,Pangolier,Chen,Riki,Huskar,,Templar Assasin
99,Lycan,Lone Druid,Grimstroke,Nature's Prophet,Enigma,Queen of Pain,Batrider,Axe,Zeus,Batrider,,Phantom Lancer
100,Batrider,Timbersaw,Dragon Knight,Mirana,Witch Doctor,Monkey King,Beastmaster,Shadow Demon,Queen of Pain,Slark,,Morphling
